Play,Rk,G,Date,Age,Tm,HorA,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BoxPM
TK,1,1,4/24/1998,29-218,CHI,,NJN,W (+3),1,42:02:00,5,10,0.5,3,6,0.5,0,2,0,0,4,4,5,2,1,2,5,13,10.6,5.1
TK,2,2,4/26/1998,29-220,CHI,,NJN,W (+5),1,30:40:00,7,17,0.412,0,3,0,5,9,0.556,2,6,8,1,2,0,1,1,19,12.8,5.1
TK,3,3,4/29/1998,29-223,CHI,@,NJN,W (+15),1,27:24:00,6,10,0.6,1,2,0.5,0,0,,2,1,3,3,1,0,2,2,13,10.4,5.1
TK,4,4,5/3/1998,29-227,CHI,,CHH,W (+13),1,28:30:00,2,4,0.5,0,1,0,1,2,0.5,0,2,2,3,3,0,1,5,5,5.3,5.1
TK,5,5,5/6/1998,29-230,CHI,,CHH,L (-2),1,24:39:00,4,12,0.333,1,2,0.5,0,0,,1,0,1,2,1,0,2,0,9,3.3,5.1
TK,6,6,5/8/1998,29-232,CHI,@,CHH,W (+14),0,21:00,2,7,0.286,0,1,0,2,2,1,1,3,4,4,0,0,0,5,6,4.3,5.1
TK,7,7,5/10/1998,29-234,CHI,@,CHH,W (+14),0,25:03:00,5,10,0.5,2,4,0.5,3,5,0.6,1,1,2,3,1,1,1,3,15,11.8,5.1
TK,8,8,5/13/1998,29-237,CHI,,CHH,W (+9),0,10:13,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-0.1,5.1
TK,9,9,5/17/1998,29-241,CHI,,IND,W (+6),1,29:45:00,2,11,0.182,0,2,0,0,0,,1,6,7,5,3,0,4,6,4,-0.3,5.1
TK,10,10,5/19/1998,29-243,CHI,,IND,W (+6),1,25:30:00,5,12,0.417,1,4,0.25,5,7,0.714,1,2,3,2,2,1,0,3,16,13,5.1
TK,11,11,5/23/1998,29-247,CHI,@,IND,L (-2),0,22:44,3,6,0.5,2,3,0.667,6,9,0.667,1,1,2,3,2,0,0,2,14,14.1,5.1
TK,12,12,5/25/1998,29-249,CHI,@,IND,L (-2),1,29:18:00,8,10,0.8,2,3,0.667,0,1,0,0,1,1,4,0,1,0,3,18,16.4,5.1
TK,13,13,5/27/1998,29-251,CHI,,IND,W (+19),1,28:56:00,8,13,0.615,1,2,0.5,2,2,1,2,3,5,7,1,1,2,0,19,20,5.1
TK,14,14,5/29/1998,29-253,CHI,@,IND,L (-3),1,35:27:00,3,7,0.429,0,1,0,4,5,0.8,1,5,6,1,0,1,0,4,10,7.9,5.1
TK,15,15,5/31/1998,29-255,CHI,,IND,W (+5),1,33:04:00,7,11,0.636,3,4,0.75,4,5,0.8,1,3,4,1,1,0,1,3,21,16.8,5.1
TK,16,16,6/3/1998,29-258,CHI,@,UTA,L (-3),1,30:37:00,4,12,0.333,1,5,0.2,0,0,,1,2,3,2,0,2,1,2,9,4.5,5.1
TK,17,17,6/5/1998,29-260,CHI,@,UTA,W (+5),1,42:52:00,6,16,0.375,1,6,0.167,0,2,0,5,4,9,2,2,0,3,1,13,8.1,5.1
TK,18,18,6/7/1998,29-262,CHI,,UTA,W (+42),1,33:36:00,7,12,0.583,0,2,0,2,2,1,3,3,6,4,4,0,4,3,16,15,5.1
TK,19,19,6/10/1998,29-265,CHI,,UTA,W (+4),1,29:26:00,3,9,0.333,0,2,0,2,2,1,0,1,1,4,0,1,0,3,8,5.5,5.1
TK,20,20,6/12/1998,29-267,CHI,,UTA,L (-2),1,42:54:00,11,13,0.846,4,6,0.667,4,7,0.571,1,5,6,0,1,1,2,2,30,25.2,5.1
TK,21,21,6/14/1998,29-269,CHI,@,UTA,W (+1),1,42:06:00,7,14,0.5,1,2,0.5,0,0,,0,3,3,4,0,0,0,3,15,10.5,5.1
TK,1,1,4/25/1997,28-219,CHI,,WSB,W (+12),0,24:20:00,1,10,0.1,0,4,0,5,6,0.833,2,1,3,2,1,0,2,2,7,1.3,3
TK,2,2,4/27/1997,28-221,CHI,,WSB,W (+5),0,17:49,2,5,0.4,0,0,,2,3,0.667,1,1,2,0,0,1,0,2,6,3.8,3
TK,3,3,4/30/1997,28-224,CHI,@,WSB,W (+1),0,26:13:00,4,7,0.571,2,4,0.5,6,6,1,2,3,5,2,2,0,1,1,16,17,3
TK,4,4,5/6/1997,28-230,CHI,,ATL,W (+3),0,26:22:00,2,5,0.4,1,4,0.25,2,6,0.333,0,1,1,1,0,0,1,1,7,2.3,3
TK,5,5,5/8/1997,28-232,CHI,,ATL,L (-8),0,26:49:00,5,12,0.417,2,7,0.286,3,6,0.5,0,1,1,5,0,0,1,3,15,9,3
TK,6,6,5/10/1997,28-234,CHI,@,ATL,W (+20),0,26:17:00,6,12,0.5,2,4,0.5,2,2,1,1,3,4,5,2,0,0,4,16,15.5,3
TK,7,7,5/11/1997,28-235,CHI,@,ATL,W (+9),0,23:44,2,5,0.4,0,2,0,5,5,1,0,2,2,3,0,0,1,2,9,7.2,3
TK,8,8,5/13/1997,28-237,CHI,,ATL,W (+15),0,16:05,2,5,0.4,1,3,0.333,2,4,0.5,0,2,2,2,1,0,0,2,7,5.7,3
TK,9,9,5/20/1997,28-244,CHI,,MIA,W (+7),0,19:51,1,8,0.125,0,0,,0,2,0,2,1,3,2,1,0,1,2,2,-1.7,3
TK,10,10,5/22/1997,28-246,CHI,,MIA,W (+7),0,17:11,0,3,0,0,2,0,0,0,,0,0,0,1,2,0,2,1,0,-1.8,3
TK,11,11,5/24/1997,28-248,CHI,@,MIA,W (+24),0,23:51,2,5,0.4,0,1,0,5,6,0.833,0,5,5,6,2,0,2,1,9,11.2,3
TK,12,12,5/26/1997,28-250,CHI,@,MIA,L (-7),0,8:24,0,1,0,0,0,,0,0,,0,1,1,2,0,0,0,0,0,1,3
TK,13,13,5/28/1997,28-252,CHI,,MIA,W (+13),0,27:17:00,3,10,0.3,1,4,0.25,1,2,0.5,3,3,6,7,1,0,1,1,8,9.3,3
TK,14,14,6/1/1997,28-256,CHI,,UTA,W (+2),0,21:59,2,6,0.333,2,3,0.667,0,0,,0,1,1,3,0,0,0,0,6,5,3
TK,15,15,6/4/1997,28-259,CHI,,UTA,W (+12),0,20:26,1,5,0.2,1,2,0.5,4,4,1,0,2,2,3,0,0,0,2,7,5.8,3
TK,16,16,6/6/1997,28-261,CHI,@,UTA,L (-11),0,24:58:00,3,8,0.375,0,4,0,2,2,1,0,5,5,4,0,0,3,2,8,4.1,3
TK,17,17,6/8/1997,28-263,CHI,@,UTA,L (-5),0,23:59,3,7,0.429,3,4,0.75,0,0,,0,3,3,4,0,0,0,2,9,8.2,3
TK,18,18,6/11/1997,28-266,CHI,@,UTA,W (+2),0,23:30,3,5,0.6,3,4,0.75,0,0,,2,2,4,2,0,0,1,2,9,8.3,3
TK,19,19,6/13/1997,28-268,CHI,,UTA,W (+4),0,24:34:00,3,6,0.5,1,1,1,2,4,0.5,0,4,4,0,1,0,1,0,9,6.4,3
TK,1,1,4/26/1996,27-221,CHI,,MIA,W (+17),1,38:00:00,9,17,0.529,1,7,0.143,2,4,0.5,1,6,7,3,0,0,3,1,21,13.1,2.4
TK,2,2,4/28/1996,27-223,CHI,,MIA,W (+31),1,37:00:00,4,12,0.333,0,6,0,0,0,,2,5,7,4,0,1,2,3,8,4.4,2.4
TK,3,3,5/1/1996,27-226,CHI,@,MIA,W (+21),1,30:00:00,4,8,0.5,0,3,0,6,7,0.857,1,4,5,4,1,0,1,2,14,13.5,2.4
TK,4,4,5/5/1996,27-230,CHI,,NYK,W (+7),0,28:00:00,1,8,0.125,0,4,0,5,6,0.833,1,1,2,5,2,0,0,2,7,7.1,2.4
TK,5,5,5/7/1996,27-232,CHI,,NYK,W (+11),0,25:00:00,2,7,0.286,0,4,0,2,2,1,0,0,0,2,1,0,0,3,6,3.1,2.4
TK,6,6,5/19/1996,27-244,CHI,,ORL,W (+38),0,32:00:00,5,10,0.5,0,3,0,2,2,1,0,6,6,10,2,0,2,0,12,15.8,2.4
TK,7,7,5/21/1996,27-246,CHI,,ORL,W (+5),0,28:00:00,1,7,0.143,0,2,0,4,4,1,1,1,2,5,1,0,2,5,6,3,2.4
TK,8,8,5/25/1996,27-250,CHI,@,ORL,W (+19),0,20:00,1,5,0.2,1,2,0.5,0,0,,1,4,5,1,1,0,3,1,3,0.1,2.4
TK,9,9,5/27/1996,27-252,CHI,@,ORL,W (+5),0,24:00:00,2,6,0.333,1,5,0.2,2,2,1,0,0,0,3,1,1,2,2,7,4.6,2.4
TK,10,10,6/5/1996,27-261,CHI,,SEA,W (+17),0,27:00:00,7,13,0.538,2,5,0.4,2,3,0.667,3,1,4,4,1,0,0,3,18,16.3,2.4
TK,11,11,6/7/1996,27-263,CHI,,SEA,W (+4),0,24:00:00,4,12,0.333,2,7,0.286,1,2,0.5,3,2,5,5,0,1,1,2,11,8.9,2.4
TK,12,12,6/9/1996,27-265,CHI,@,SEA,W (+22),1,37:00:00,4,11,0.364,1,3,0.333,5,5,1,1,6,7,7,1,0,0,3,14,15.1,2.4
TK,13,13,6/12/1996,27-268,CHI,@,SEA,L (-21),0,30:00:00,6,11,0.545,2,5,0.4,0,0,,0,1,1,1,1,0,6,3,14,3.5,2.4
TK,14,14,6/14/1996,27-270,CHI,@,SEA,L (-11),1,37:00:00,5,13,0.385,1,5,0.2,0,0,,2,7,9,3,1,0,2,3,11,7.3,2.4
TK,15,15,6/16/1996,27-272,CHI,,SEA,W (+12),0,22:00,4,11,0.364,2,7,0.286,0,0,,3,0,3,1,1,1,2,0,10,6.4,2.4
SK,1,1,4/24/1998,32-209,CHI,,NJN,W (+3),0,15:40,1,2,0.5,0,0,,0,0,,0,1,1,1,0,0,0,2,2,1.2,1.1
SK,2,2,4/26/1998,32-211,CHI,,NJN,W (+5),0,25:45:00,4,6,0.667,2,3,0.667,0,1,0,0,0,0,3,1,0,0,0,10,10.1,1.1
SK,3,3,4/29/1998,32-214,CHI,@,NJN,W (+15),0,22:43,2,5,0.4,0,3,0,0,0,,1,0,1,1,0,0,0,2,4,1.9,1.1
SK,4,4,5/3/1998,32-218,CHI,,CHH,W (+13),0,24:05:00,2,6,0.333,2,5,0.4,0,0,,0,2,2,0,0,0,0,1,6,2.8,1.1
SK,5,5,5/6/1998,32-221,CHI,,CHH,L (-2),0,26:13:00,3,3,1,1,1,1,0,0,,0,1,1,1,0,0,0,1,7,6.7,1.1
SK,6,6,5/8/1998,32-223,CHI,@,CHH,W (+14),0,23:59,2,5,0.4,2,3,0.667,2,2,1,0,0,0,2,1,0,0,1,8,7.3,1.1
SK,7,7,5/10/1998,32-225,CHI,@,CHH,W (+14),0,27:58:00,0,1,0,0,0,,2,4,0.5,1,1,2,5,1,0,0,1,2,5.6,1.1
SK,8,8,5/13/1998,32-228,CHI,,CHH,W (+9),0,21:53,5,9,0.556,1,1,1,4,4,1,0,0,0,1,0,0,0,1,15,11,1.1
SK,9,9,5/17/1998,32-232,CHI,,IND,W (+6),0,9:56,0,1,0,0,1,0,0,0,,1,1,2,1,0,0,1,2,0,-0.8,1.1
SK,10,10,5/19/1998,32-234,CHI,,IND,W (+6),0,13:41,1,3,0.333,1,2,0.5,0,0,,1,1,2,2,0,0,0,0,3,3.7,1.1
SK,11,11,5/23/1998,32-238,CHI,@,IND,L (-2),0,17:03,1,3,0.333,1,2,0.5,2,3,0.667,1,1,2,3,1,0,1,0,5,6,1.1
SK,12,12,5/25/1998,32-240,CHI,@,IND,L (-2),0,10:06,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,3,2.7,1.1
SK,13,13,5/27/1998,32-242,CHI,,IND,W (+19),0,18:06,1,3,0.333,0,1,0,2,2,1,1,0,1,0,0,0,0,3,4,1.8,1.1
SK,14,14,5/29/1998,32-244,CHI,@,IND,L (-3),0,13:37,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,1.1
SK,15,15,5/31/1998,32-246,CHI,,IND,W (+5),0,18:50,3,7,0.429,3,5,0.6,2,2,1,1,0,1,0,1,0,0,3,11,7.8,1.1
SK,16,16,6/3/1998,32-249,CHI,@,UTA,L (-3),0,27:25:00,2,3,0.667,0,0,,0,0,,0,0,0,5,0,0,1,1,4,4.8,1.1
SK,17,17,6/5/1998,32-251,CHI,@,UTA,W (+5),0,26:58:00,1,5,0.2,1,4,0.25,4,4,1,1,0,1,2,0,0,1,1,7,4.6,1.1
SK,18,18,6/7/1998,32-253,CHI,,UTA,W (+42),0,12:24,2,5,0.4,2,4,0.5,0,0,,0,1,1,2,0,0,0,0,6,5,1.1
SK,19,19,6/10/1998,32-256,CHI,,UTA,W (+4),0,15:54,0,3,0,0,2,0,0,0,,0,0,0,1,1,0,0,2,0,-1.2,1.1
SK,20,20,6/12/1998,32-258,CHI,,UTA,L (-2),0,18:19,2,4,0.5,2,3,0.667,0,0,,0,0,0,2,0,0,0,1,6,5,1.1
SK,21,21,6/14/1998,32-260,CHI,@,UTA,W (+1),0,24:05:00,0,0,,0,0,,0,0,,0,0,0,3,1,0,1,3,0,0.9,1.1
SK,1,1,4/25/1997,31-210,CHI,,WSB,W (+12),0,21:07,4,5,0.8,3,3,1,2,2,1,0,1,1,2,1,0,0,1,13,13.4,2
SK,2,2,4/27/1997,31-212,CHI,,WSB,W (+5),0,21:19,1,2,0.5,0,0,,0,0,,0,2,2,3,1,0,0,0,2,4.7,2
SK,3,3,4/30/1997,31-215,CHI,@,WSB,W (+1),0,20:33,3,6,0.5,1,2,0.5,0,0,,1,1,2,0,1,0,0,2,7,5.2,2
SK,4,4,5/6/1997,31-221,CHI,,ATL,W (+3),0,15:13,1,3,0.333,1,3,0.333,0,0,,1,1,2,1,0,0,0,0,3,3,2
SK,5,5,5/8/1997,31-223,CHI,,ATL,L (-8),0,11:14,1,3,0.333,1,3,0.333,0,0,,0,0,0,1,0,0,1,0,3,1,2
SK,6,6,5/10/1997,31-225,CHI,@,ATL,W (+20),0,17:09,2,6,0.333,1,4,0.25,0,0,,0,3,3,1,2,0,1,3,5,3,2
SK,7,7,5/11/1997,31-226,CHI,@,ATL,W (+9),0,20:09,2,6,0.333,0,1,0,0,0,,0,0,0,1,1,0,2,1,4,-0.1,2
SK,8,8,5/13/1997,31-228,CHI,,ATL,W (+15),0,24:18:00,5,6,0.833,3,4,0.75,2,2,1,1,0,1,1,2,0,1,2,15,14.4,2
SK,9,9,5/20/1997,31-235,CHI,,MIA,W (+7),0,16:35,1,4,0.25,1,2,0.5,0,0,,0,1,1,1,0,1,0,1,3,1.9,2
SK,10,10,5/22/1997,31-237,CHI,,MIA,W (+7),0,10:38,1,2,0.5,0,1,0,1,2,0.5,0,0,0,1,1,0,0,1,3,2.9,2
SK,11,11,5/24/1997,31-239,CHI,@,MIA,W (+24),0,21:30,0,5,0,0,1,0,3,3,1,0,1,1,1,3,0,1,1,3,2.1,2
SK,12,12,5/26/1997,31-241,CHI,@,MIA,L (-7),0,11:23,1,1,1,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,2
SK,13,13,5/28/1997,31-243,CHI,,MIA,W (+13),0,12:53,2,3,0.667,1,2,0.5,1,1,1,0,0,0,0,1,0,0,3,6,4.5,2
SK,14,14,6/1/1997,31-247,CHI,,UTA,W (+2),0,6:57,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,2
SK,15,15,6/4/1997,31-250,CHI,,UTA,W (+12),0,18:43,2,6,0.333,2,5,0.4,2,2,1,0,1,1,1,1,1,1,1,8,5.9,2
SK,16,16,6/6/1997,31-252,CHI,@,UTA,L (-11),0,19:01,3,6,0.5,1,3,0.333,0,0,,1,0,1,1,1,0,0,2,7,5.6,2
SK,17,17,6/8/1997,31-254,CHI,@,UTA,L (-5),0,22:55,1,5,0.2,0,4,0,0,0,,0,0,0,2,2,0,0,2,2,1.5,2
SK,18,18,6/11/1997,31-257,CHI,@,UTA,W (+2),0,24:15:00,0,3,0,0,2,0,0,0,,0,2,2,1,0,0,1,1,0,-2.2,2
SK,19,19,6/13/1997,31-259,CHI,,UTA,W (+4),0,25:00:00,3,5,0.6,1,2,0.5,2,2,1,0,1,1,0,0,0,0,3,9,5.8,2
SK,1,1,4/26/1996,30-212,CHI,,MIA,W (+17),0,27:00:00,1,3,0.333,1,3,0.333,5,6,0.833,0,1,1,3,2,0,0,1,8,9.9,3
SK,2,2,4/28/1996,30-214,CHI,,MIA,W (+31),0,22:00,3,7,0.429,1,4,0.25,6,6,1,0,2,2,4,0,0,1,3,13,10.5,3
SK,3,3,5/1/1996,30-217,CHI,@,MIA,W (+21),0,23:00,2,5,0.4,1,3,0.333,2,2,1,0,1,1,3,1,0,1,0,7,6.7,3
SK,4,4,5/5/1996,30-221,CHI,,NYK,W (+7),0,15:00,3,6,0.5,2,4,0.5,0,0,,0,1,1,0,0,0,2,0,8,3.3,3
SK,5,5,5/7/1996,30-223,CHI,,NYK,W (+11),0,19:00,2,5,0.4,1,2,0.5,0,0,,0,0,0,1,0,0,1,1,5,1.6,3
SK,6,6,5/11/1996,30-227,CHI,@,NYK,L (-3),0,24:00:00,3,5,0.6,0,1,0,0,0,,0,0,0,3,2,0,1,1,6,6.4,3
SK,7,7,5/12/1996,30-228,CHI,@,NYK,W (+3),0,23:00,2,2,1,0,0,,3,3,1,0,0,0,0,1,0,0,1,7,7,3
SK,8,8,5/14/1996,30-230,CHI,,NYK,W (+13),0,17:00,1,1,1,0,0,,2,2,1,0,1,1,2,0,0,1,0,4,4.4,3
SK,9,9,5/19/1996,30-235,CHI,,ORL,W (+38),0,17:00,5,7,0.714,4,5,0.8,0,0,,0,4,4,6,3,0,0,2,14,18.7,3
SK,10,10,5/21/1996,30-237,CHI,,ORL,W (+5),0,15:00,1,2,0.5,0,1,0,1,2,0.5,1,1,2,1,0,0,0,0,3,3.3,3
SK,11,11,5/25/1996,30-241,CHI,@,ORL,W (+19),0,15:00,3,6,0.5,2,5,0.4,0,1,0,0,0,0,2,1,0,2,0,8,5,3
SK,12,12,5/27/1996,30-243,CHI,@,ORL,W (+5),0,27:00:00,3,5,0.6,1,3,0.333,2,2,1,0,1,1,1,3,0,0,4,9,9.1,3
SK,13,13,6/5/1996,30-252,CHI,,SEA,W (+17),0,12:00,0,5,0,0,3,0,0,0,,0,0,0,0,0,0,0,0,0,-3.5,3
SK,14,14,6/7/1996,30-254,CHI,,SEA,W (+4),0,13:00,1,6,0.167,0,4,0,1,1,1,0,0,0,0,0,0,0,2,3,-1.6,3
SK,15,15,6/9/1996,30-256,CHI,@,SEA,W (+22),0,25:00:00,3,4,0.75,1,2,0.5,1,1,1,0,2,2,2,1,0,1,2,8,7.6,3
SK,16,16,6/12/1996,30-259,CHI,@,SEA,L (-21),0,22:00,1,6,0.167,1,4,0.25,2,2,1,1,0,1,1,0,0,1,0,5,1.6,3
SK,17,17,6/14/1996,30-261,CHI,@,SEA,L (-11),0,24:00:00,2,8,0.25,1,7,0.143,2,3,0.667,0,1,1,2,0,0,1,3,7,1.3,3
SK,18,18,6/16/1996,30-263,CHI,,SEA,W (+12),0,17:00,3,4,0.75,1,2,0.5,0,0,,1,0,1,0,0,0,1,1,7,4.7,3
